date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-09-01,Chaman Lal Setia Exports Ltd.,BUY,101.25,24691.35802469136,2500000.0,
2021-08-02,Prashant India Ltd.,SELL,1.27,3968253.9682539683,5039682.53968254,2.004106776180698
2022-09-01,Chaman Lal Setia Exports Ltd.,SELL,106.95,24691.35802469136,2640740.7407407407,1.998631074606434
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,301910.5361928612,2545105.82010582,
2022-09-01,Chaman Lal Setia Exports Ltd.,BUY,106.95,23797.15586821711,2545105.82010582,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,13699.937128816147,1018042.3280423279,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,265115.1895943563,1018042.3280423281,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,47219.031912909464,1018042.328042328,
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,301910.5361928612,4906046.2131339945,2.004106776180698
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,23797.15586821711,5434080.5425073765,2.004106776180698
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,52564.07480028043,12376211.411726028,
2025-09-01,Wallfort Financial Services Ltd.,SELL,120.0,13699.937128816147,1643992.4554579377,2.001368925393566
2025-09-01,Magnanimous Trade & Finance Ltd.,SELL,5.64,265115.1895943563,1495249.6693121693,2.001368925393566
2025-09-01,Premier Polyfilm Ltd.,SELL,49.38,47219.031912909464,2331675.7958594696,2.001368925393566
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,52564.07480028043,14021992.593722807,0.03559206023271732
