date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-07-31,Prashant India Ltd.,SELL,1.11,3968253.9682539683,4404761.904761905,0.999315537303217
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,1224578.3730158731,4702380.952380952,
2024-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,1224578.3730158731,6906622.023809524,1.0047912388774811
2024-09-02,Magnanimous Trade & Finance Ltd.,BUY,5.64,1029166.9305133403,5804501.488095239,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,24652.79884516984,5804501.488095239,
2025-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,1029166.9305133403,5804501.488095239,0.999315537303217
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,24652.79884516984,6576380.6199375065,0.03559206023271732
