date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-07-31,Prashant India Ltd.,SELL,1.11,3968253.9682539683,4404761.904761905,0.999315537303217
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,816385.582010582,3134920.634920635,
2024-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,816385.582010582,4604414.682539682,1.0047912388774811
2024-09-02,Magnanimous Trade & Finance Ltd.,BUY,5.64,964029.7830124957,5437127.976190476,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,23092.495120792,5437127.976190476,
2025-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,964029.7830124957,5437127.976190476,0.999315537303217
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,23092.495120792,6160153.998422474,0.03559206023271732
