date,company,action,price,shares,value,holding_period_years
2018-09-03,Balmer Lawrie & Co. Ltd.,BUY,153.3,9318.796011555307,1428571.4285714286,
2018-09-03,Bajaj Finserv Ltd.,BUY,665.29,2147.291299390384,1428571.4285714286,
2018-09-03,Chaman Lal Setia Exports Ltd.,BUY,106.9,13363.624214887077,1428571.4285714286,
2019-08-01,Prashant India Ltd.,BUY,1.26,1133786.8480725621,1428571.4285714284,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,337723.741979061,1428571.4285714282,
2020-09-01,Wallfort Financial Services Ltd.,BUY,20.9,19529.34283761351,408163.2653061223,
2020-09-01,Sam Industries Ltd.,BUY,7.5,54421.768707482974,408163.2653061223,
2020-09-01,Arvee Laboratories (India) Ltd.,BUY,35.0,11661.807580174924,408163.2653061223,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,2187.956394029066,408163.26530612225,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,36313.45776744862,306122.4489795919,
2022-09-02,Balmer Lawrie & Co. Ltd.,SELL,125.7,9318.796011555307,1171372.658652502,3.997262149212868
2022-09-02,Bajaj Finserv Ltd.,SELL,1732.93,2147.291299390384,3721105.5114525785,3.997262149212868
2022-09-02,Chaman Lal Setia Exports Ltd.,SELL,111.1,13363.624214887077,1484698.6502739543,3.997262149212868
2022-09-02,Balmer Lawrie & Co. Ltd.,BUY,125.7,11607.866614666365,1459108.8334635622,
2022-09-02,Chaman Lal Setia Exports Ltd.,BUY,111.1,13133.292830455106,1459108.8334635622,
2023-07-31,Prashant India Ltd.,SELL,8.63,1133786.8480725621,9784580.498866212,3.997262149212868
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,9362.00634577702,2023129.5713224139,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,1335.8399282419373,2023129.571322414,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,526856.6591985453,2023129.5713224139,
2023-09-01,Nagreeka Capital & Infrastructure Ltd.,BUY,15.64,129356.11069836405,2023129.5713224139,
2023-09-04,Premier Polyfilm Ltd.,SELL,21.56,337723.741979061,7281323.877068554,4.002737850787132
2023-09-04,Premier Polyfilm Ltd.,BUY,21.56,154808.81946933904,3337678.1477589495,
2024-09-02,Wallfort Financial Services Ltd.,SELL,149.0,19529.34283761351,2909872.082804413,4.002737850787132
2024-09-02,Sam Industries Ltd.,SELL,76.27,54421.768707482974,4150748.2993197264,4.002737850787132
2024-09-02,Arvee Laboratories (India) Ltd.,SELL,184.63,11661.807580174924,2153119.533527696,4.002737850787132
2024-09-02,Panasonic Energy India Co. Ltd.,SELL,503.85,2187.956394029066,1102401.8291315448,4.002737850787132
2024-09-02,Wallfort Financial Services Ltd.,BUY,149.0,19491.06058299159,2904168.0268657473,
2024-09-02,Sam Industries Ltd.,BUY,76.27,38077.46200164871,2904168.026865747,
2024-09-02,Panasonic Energy India Co. Ltd.,BUY,503.85,5763.953610927353,2904168.026865747,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,9971.39236692102,2904168.026865747,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,12334.542479786565,2904168.026865747,
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,36313.45776744862,778923.6691117729,3.047227926078029
2025-09-18,Balmer Lawrie & Co. Ltd.,SELL,215.25,11607.866614666365,2498593.2888069353,3.0444900752908968
2025-09-18,Chaman Lal Setia Exports Ltd.,SELL,288.15,13133.292830455106,3784358.3290956384,3.0444900752908968
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,9362.00634577702,4384695.672044667,2.0479123887748116
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,1335.8399282419373,2764119.9795182166,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,526856.6591985453,2971471.5578797953,2.0479123887748116
2025-09-18,Nagreeka Capital & Infrastructure Ltd.,SELL,28.32,129356.11069836405,3663365.05497767,2.0479123887748116
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,154808.81946933904,7382832.600492778,2.0396988364134154
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,19491.06058299159,2238548.3079565843,1.0431211498973305
2025-09-18,Sam Industries Ltd.,SELL,62.23,38077.46200164871,2369560.460362599,1.0431211498973305
2025-09-18,Panasonic Energy India Co. Ltd.,SELL,380.75,5763.953610927353,2194625.3373605898,1.0431211498973305
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,9971.39236692102,4846096.690323615,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,12334.542479786565,3290362.551907864,0.03559206023271732
