date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2021-08-02,Prashant India Ltd.,SELL,1.27,3968253.9682539683,5039682.53968254,2.004106776180698
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,1307250.330687831,5019841.2698412705,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,21320.20076381937,5019841.2698412705,
2025-09-01,Magnanimous Trade & Finance Ltd.,SELL,5.64,1307250.330687831,7372891.865079366,2.001368925393566
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,21320.20076381937,5687376.7557564555,0.03559206023271732
