date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-09-01,Chaman Lal Setia Exports Ltd.,BUY,101.25,24691.35802469136,2500000.0,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,98853.3017002768,833333.3333333334,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,4485.713004081998,333333.3333333333,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,86805.55555555555,333333.3333333333,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,15460.729746444033,333333.3333333333,
2024-07-30,Prashant India Ltd.,SELL,13.72,3968253.9682539683,54444444.44444445,4.996577686516085
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,234067.15273353626,55111111.11111111,
2025-09-01,Chaman Lal Setia Exports Ltd.,SELL,285.05,24691.35802469136,7038271.604938272,4.999315537303217
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,98853.3017002768,2120403.321470937,3.047227926078029
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,4485.713004081998,515184.1385188175,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,86805.55555555555,489583.33333333326,2.0479123887748116
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,15460.729746444033,737322.2016079159,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,234067.15273353626,62439753.66319813,0.03559206023271732
