date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,2645502.6455026455,3333333.3333333335,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,55625.08691419829,2222222.222222222,
2021-09-01,Premier Polyfilm Ltd.,BUY,14.76,301114.1222523336,4444444.444444444,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,0.0,0.0,
2023-07-31,Prashant India Ltd.,SELL,8.63,2645502.6455026455,22830687.830687832,3.997262149212868
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,17608.119567089183,3805114.6384479725,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,51205.95664712652,3805114.638447972,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,2512.4560174631706,3805114.638447972,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,990915.2704291594,3805114.638447972,
2023-09-04,Chaman Lal Setia Exports Ltd.,SELL,207.8,55625.08691419829,11558893.060770405,4.002737850787132
2023-09-04,Chaman Lal Setia Exports Ltd.,BUY,207.8,30749.313984065364,6389707.445888783,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,21938.909685455044,6389707.445888782,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,27138.277536159618,6389707.445888782,
2025-09-01,Premier Polyfilm Ltd.,SELL,49.38,301114.1222523336,14869015.356820235,4.0
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,0.0,0.0,3.047227926078029
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,17608.119567089183,8246762.799246219,2.0479123887748116
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,51205.95664712652,5881004.120922481,2.0479123887748116
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,2512.4560174631706,5198773.991334792,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,990915.2704291594,5588762.125220459,2.0479123887748116
2025-09-18,Chaman Lal Setia Exports Ltd.,SELL,288.15,30749.313984065364,8860414.824508434,2.0396988364134154
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,21938.909685455044,10662310.107131151,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,27138.277536159618,7239406.9155459395,0.03559206023271732
