date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,2645502.6455026455,3333333.3333333335,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,55625.08691419829,2222222.222222222,
2021-09-01,Premier Polyfilm Ltd.,BUY,14.76,301114.1222523336,4444444.444444444,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,0.0,0.0,
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,0.0,0.0,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,0.0,0.0,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,0.0,0.0,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,0.0,0.0,
2024-07-30,Prashant India Ltd.,SELL,13.72,2645502.6455026455,36296296.2962963,4.996577686516085
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,55625.08691419829,12701988.596857179,4.999315537303217
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,84117.22728438364,24499142.446576737,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,104052.42066925776,24499142.446576737,
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,301114.1222523336,14360132.490213789,4.046543463381246
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,0.0,0.0,3.047227926078029
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,0.0,0.0,2.0479123887748116
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,0.0,0.0,2.0479123887748116
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,0.0,0.0,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,0.0,0.0,2.0479123887748116
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,84117.22728438364,40880972.46021045,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,104052.42066925776,27757023.7377312,0.03559206023271732
