date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,434027.7777777778,1666666.6666666667,
2024-07-30,Prashant India Ltd.,SELL,13.72,3968253.9682539683,54444444.44444445,4.996577686516085
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,245392.98270451385,57777777.77777778,
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,434027.7777777778,2447916.6666666665,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,245392.98270451385,65461032.06625611,0.03559206023271732
