date,company,action,price,shares,value,holding_period_years
2018-09-03,Balmer Lawrie & Co. Ltd.,BUY,153.3,9318.796011555307,1428571.4285714286,
2018-09-03,Bajaj Finserv Ltd.,BUY,665.29,2147.291299390384,1428571.4285714286,
2018-09-03,Chaman Lal Setia Exports Ltd.,BUY,106.9,13363.624214887077,1428571.4285714286,
2019-08-01,Prashant India Ltd.,BUY,1.26,1133786.8480725621,1428571.4285714284,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,337723.741979061,1428571.4285714282,
2020-09-01,Wallfort Financial Services Ltd.,BUY,20.9,19529.34283761351,408163.2653061223,
2020-09-01,Sam Industries Ltd.,BUY,7.5,54421.768707482974,408163.2653061223,
2020-09-01,Arvee Laboratories (India) Ltd.,BUY,35.0,11661.807580174924,408163.2653061223,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,2187.956394029066,408163.26530612225,
2020-09-02,Balmer Lawrie & Co. Ltd.,SELL,117.9,9318.796011555307,1098686.0497623708,1.998631074606434
2020-09-02,Bajaj Finserv Ltd.,SELL,636.51,2147.291299390384,1366772.3849749735,1.998631074606434
2020-09-02,Chaman Lal Setia Exports Ltd.,SELL,96.2,13363.624214887077,1285580.6494721367,1.998631074606434
2020-09-02,Chaman Lal Setia Exports Ltd.,BUY,96.2,12930.168607400852,1243882.220031962,
2021-08-02,Prashant India Ltd.,SELL,1.27,1133786.8480725621,1439909.2970521539,2.004106776180698
2021-09-01,Bajaj Finserv Ltd.,BUY,1678.63,1026.939817420166,1723851.9857160135,
2021-09-02,Premier Polyfilm Ltd.,SELL,15.49,337723.741979061,5231340.763255655,1.998631074606434
2021-09-02,Premier Polyfilm Ltd.,BUY,15.49,186766.6179188225,2893014.9115625606,
2022-09-01,Wallfort Financial Services Ltd.,SELL,40.0,19529.34283761351,781173.7135045404,1.998631074606434
2022-09-01,Sam Industries Ltd.,SELL,30.0,54421.768707482974,1632653.0612244892,1.998631074606434
2022-09-01,Arvee Laboratories (India) Ltd.,SELL,86.75,11661.807580174924,1011661.8075801746,1.998631074606434
2022-09-01,Panasonic Energy India Co. Ltd.,SELL,253.0,2187.956394029066,553552.9676893536,1.998631074606434
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,193061.90931442627,1627511.8955206135,
2022-09-01,Balmer Lawrie & Co. Ltd.,BUY,124.65,13056.65379479032,1627511.8955206135,
2022-09-01,Arvee Laboratories (India) Ltd.,BUY,86.75,18760.944040583443,1627511.8955206138,
2022-09-02,Chaman Lal Setia Exports Ltd.,SELL,111.1,12930.168607400852,1436541.7322822346,1.998631074606434
2022-09-02,Chaman Lal Setia Exports Ltd.,BUY,111.1,14219.346127011871,1579769.3547110187,
2023-09-01,Bajaj Finserv Ltd.,SELL,1514.5,1026.939817420166,1555300.3534828415,1.998631074606434
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,2912.8220349911603,629460.8417615897,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,8470.742050351093,629460.8417615897,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,415.62287339821046,629460.8417615897,
2023-09-01,Sam Industries Ltd.,BUY,67.74,9292.30649190419,629460.8417615897,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,163922.09420874732,629460.8417615897,
2023-09-01,Panasonic Energy India Co. Ltd.,BUY,339.95,1851.627715139255,629460.8417615897,
2023-09-01,Nagreeka Capital & Infrastructure Ltd.,BUY,15.64,40246.85689012722,629460.8417615897,
2023-09-04,Premier Polyfilm Ltd.,SELL,21.56,186766.6179188225,4026688.282329813,2.004106776180698
2023-09-04,Premier Polyfilm Ltd.,BUY,21.56,68588.48339070712,1478767.7019036454,
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,193061.90931442627,3137256.026359427,2.004106776180698
2024-09-02,Balmer Lawrie & Co. Ltd.,SELL,279.85,13056.65379479032,3653904.5644720714,2.004106776180698
2024-09-02,Arvee Laboratories (India) Ltd.,SELL,184.63,18760.944040583443,3463833.098212921,2.004106776180698
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,14219.346127011871,3246987.688103161,2.001368925393566
