date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,2645502.6455026455,3333333.3333333335,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,55625.08691419829,2222222.222222222,
2021-08-02,Prashant India Ltd.,SELL,1.27,2645502.6455026455,3359788.35978836,2.004106776180698
2021-09-01,Premier Polyfilm Ltd.,BUY,14.76,528742.0599073715,7804232.804232803,
2021-09-02,Chaman Lal Setia Exports Ltd.,SELL,116.8,55625.08691419829,6497010.15157836,1.998631074606434
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,154140.21711929684,1299402.0303156723,
2022-09-01,Chaman Lal Setia Exports Ltd.,BUY,106.95,12149.621601829567,1299402.0303156723,
2023-09-01,Premier Polyfilm Ltd.,SELL,21.56,528742.0599073715,11399678.81160293,1.998631074606434
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,10112.96681599124,2185412.128935707,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,29409.394818136276,2185412.128935707,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,1442.9924918690701,2185412.128935707,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,569117.7419103404,2185412.128935707,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,101364.19893022759,2185412.128935707,
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,154140.21711929684,2504778.5281885737,2.004106776180698
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,12149.621601829567,2774366.0927777817,2.004106776180698
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,16566.47017826226,4824984.439418884,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,20492.607515051535,4824984.439418884,
2025-09-01,Tilaknagar Industries Ltd.,SELL,480.8,10112.96681599124,4862314.445128588,2.001368925393566
2025-09-01,Wallfort Financial Services Ltd.,SELL,120.0,29409.394818136276,3529127.378176353,2.001368925393566
2025-09-01,Bajaj Finserv Ltd.,SELL,1943.5,1442.9924918690701,2804455.907947538,2.001368925393566
2025-09-01,Magnanimous Trade & Finance Ltd.,SELL,5.64,569117.7419103404,3209824.0643743197,2.001368925393566
2025-09-01,Premier Polyfilm Ltd.,SELL,49.38,101364.19893022759,5005364.143174639,2.001368925393566
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,16566.47017826226,8051304.506635459,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,20492.607515051535,5466607.980715147,0.03559206023271732
