date,company,action,price,shares,value,holding_period_years
2018-09-03,Balmer Lawrie & Co. Ltd.,BUY,153.3,9318.796011555307,1428571.4285714286,
2018-09-03,Bajaj Finserv Ltd.,BUY,665.29,2147.291299390384,1428571.4285714286,
2018-09-03,Chaman Lal Setia Exports Ltd.,BUY,106.9,13363.624214887077,1428571.4285714286,
2019-08-01,Prashant India Ltd.,BUY,1.26,1133786.8480725621,1428571.4285714284,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,337723.741979061,1428571.4285714282,
2019-09-03,Balmer Lawrie & Co. Ltd.,SELL,116.07,9318.796011555307,1081632.6530612244,0.999315537303217
2019-09-03,Bajaj Finserv Ltd.,SELL,702.63,2147.291299390384,1508751.2856906657,0.999315537303217
2019-09-03,Chaman Lal Setia Exports Ltd.,SELL,39.95,13363.624214887077,533876.7873847388,0.999315537303217
2019-09-03,Balmer Lawrie & Co. Ltd.,BUY,116.07,12883.181664683994,1495350.8958198712,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,37430.56059624208,1495350.8958198712,
2020-07-31,Prashant India Ltd.,SELL,1.11,1133786.8480725621,1258503.4013605441,0.999315537303217
2020-09-01,Wallfort Financial Services Ltd.,BUY,20.9,29044.464750514606,607029.3132857552,
2020-09-01,Sam Industries Ltd.,BUY,7.5,80937.24177143403,607029.3132857552,
2020-09-01,Arvee Laboratories (India) Ltd.,BUY,35.0,17343.694665307292,607029.3132857552,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,3253.9764850482725,607029.3132857552,
2020-09-02,Premier Polyfilm Ltd.,SELL,5.6,337723.741979061,1891252.9550827413,0.999315537303217
2020-09-02,Balmer Lawrie & Co. Ltd.,SELL,117.9,12883.181664683994,1518927.118266243,0.999315537303217
2020-09-02,Chaman Lal Setia Exports Ltd.,SELL,96.2,37430.56059624208,3600819.9293584884,0.999315537303217
2020-09-02,Chaman Lal Setia Exports Ltd.,BUY,96.2,18361.929194521286,1766417.5885129478,
2020-09-02,Premier Polyfilm Ltd.,BUY,5.6,315431.712234455,1766417.5885129478,
2021-09-01,Wallfort Financial Services Ltd.,SELL,59.25,29044.464750514606,1720884.5364679904,0.999315537303217
2021-09-01,Sam Industries Ltd.,SELL,21.5,80937.24177143403,1740150.6980858315,0.999315537303217
2021-09-01,Arvee Laboratories (India) Ltd.,SELL,93.45,17343.694665307292,1620768.2664729664,0.999315537303217
2021-09-01,Panasonic Energy India Co. Ltd.,SELL,298.5,3253.9764850482725,971311.9807869093,0.999315537303217
2021-09-01,Wallfort Financial Services Ltd.,BUY,59.25,38320.23037081026,2270473.649470508,
2021-09-01,Bajaj Finserv Ltd.,BUY,1678.63,1352.575403436438,2270473.649470508,
2021-09-01,Sam Industries Ltd.,BUY,21.5,105603.42555676782,2270473.649470508,
2021-09-02,Chaman Lal Setia Exports Ltd.,SELL,116.8,18361.929194521286,2144673.329920086,0.999315537303217
2021-09-02,Premier Polyfilm Ltd.,SELL,15.49,315431.712234455,4886037.222511708,0.999315537303217
2021-09-02,Chaman Lal Setia Exports Ltd.,BUY,116.8,24768.103277767146,2892914.4628432025,
2021-09-02,Premier Polyfilm Ltd.,BUY,15.49,186760.13317257602,2892914.4628432025,
2022-09-01,Wallfort Financial Services Ltd.,SELL,40.0,38320.23037081026,1532809.2148324104,0.999315537303217
2022-09-01,Bajaj Finserv Ltd.,SELL,1740.64,1352.575403436438,2354346.8502376014,0.999315537303217
2022-09-01,Sam Industries Ltd.,SELL,30.0,105603.42555676782,3168102.7667030348,0.999315537303217
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,253876.78444957404,2140181.292909909,
2022-09-01,Balmer Lawrie & Co. Ltd.,BUY,124.65,17169.525013316557,2140181.292909909,
2022-09-01,Arvee Laboratories (India) Ltd.,BUY,86.75,24670.677728068116,2140181.292909909,
2022-09-02,Chaman Lal Setia Exports Ltd.,SELL,111.1,24768.103277767146,2751736.2741599297,0.999315537303217
2022-09-02,Premier Polyfilm Ltd.,SELL,19.11,186760.13317257602,3568986.1449279278,0.999315537303217
2022-09-02,Chaman Lal Setia Exports Ltd.,BUY,111.1,22936.572993370995,2548253.2595635173,
