date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-09-01,Chaman Lal Setia Exports Ltd.,BUY,101.25,24691.35802469136,2500000.0,
2022-08-01,Prashant India Ltd.,SELL,8.95,3968253.9682539683,35515873.015873015,3.0006844626967832
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,1503197.8258550025,12671957.67195767,
2023-09-01,Chaman Lal Setia Exports Ltd.,SELL,202.35,24691.35802469136,4996296.296296297,2.9979466119096507
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,81658.48914065844,6068042.328042328,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,1580219.356261023,6068042.328042328,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,281449.0875715366,6068042.328042328,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,51544.21174807669,12136084.656084657,
2025-09-01,Parker Agrochem Exports Ltd.,SELL,17.98,1503197.8258550025,27027496.908872947,3.0006844626967832
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,81658.48914065844,9378477.477804622,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,1580219.356261023,8912437.16931217,2.0479123887748116
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,281449.0875715366,13422306.98628658,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,51544.21174807669,13749933.925916938,0.03559206023271732
