date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2023-07-31,Prashant India Ltd.,SELL,8.63,3968253.9682539683,34246031.746031746,3.997262149212868
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,3406773.589065256,13082010.582010582,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,111123.4706477858,26164021.164021164,
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,3406773.589065256,19214203.042328045,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,111123.4706477858,29643297.03000334,0.03559206023271732
