date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2021-08-02,Prashant India Ltd.,SELL,1.27,3968253.9682539683,5039682.53968254,2.004106776180698
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,871500.220458554,3346560.846560847,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,28426.93435175916,6693121.693121694,
2025-09-01,Magnanimous Trade & Finance Ltd.,SELL,5.64,871500.220458554,4915261.243386244,2.001368925393566
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,28426.93435175916,7583169.007675273,0.03559206023271732
