date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2022-08-01,Prashant India Ltd.,SELL,8.95,3968253.9682539683,35515873.015873015,3.0006844626967832
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,5275504.298941799,20257936.507936507,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,86039.22916940543,20257936.507936507,
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,5275504.298941799,29753844.246031746,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,86039.22916940543,22951824.77323059,0.03559206023271732
