date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,2645502.6455026455,3333333.3333333335,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,55625.08691419829,2222222.222222222,
2020-07-31,Prashant India Ltd.,SELL,1.11,2645502.6455026455,2936507.9365079366,0.999315537303217
2020-09-02,Chaman Lal Setia Exports Ltd.,SELL,96.2,55625.08691419829,5351133.361145875,0.999315537303217
2020-09-02,Chaman Lal Setia Exports Ltd.,BUY,96.2,44116.72121309167,4244028.580699419,
2021-09-01,Premier Polyfilm Ltd.,BUY,14.76,575071.6234010054,8488057.16139884,
2021-09-02,Chaman Lal Setia Exports Ltd.,SELL,116.8,44116.72121309167,5152833.037689107,0.999315537303217
2022-09-01,Premier Polyfilm Ltd.,SELL,19.29,575071.6234010054,11093131.615405394,0.999315537303217
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,321193.4490528767,2707660.7755157505,
2022-09-01,Chaman Lal Setia Exports Ltd.,BUY,106.95,25317.07129982001,2707660.77551575,
2022-09-01,Premier Polyfilm Ltd.,BUY,19.29,140366.03294534734,2707660.77551575,
2023-09-01,Parker Agrochem Exports Ltd.,SELL,11.31,321193.4490528767,3632697.908788035,0.999315537303217
2023-09-01,Chaman Lal Setia Exports Ltd.,SELL,202.35,25317.07129982001,5122909.377518579,0.999315537303217
2023-09-01,Premier Polyfilm Ltd.,SELL,21.56,140366.03294534734,3026291.6703016884,0.999315537303217
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,10234.398315160446,2211653.4759061723,
2023-09-01,Parker Agrochem Exports Ltd.,BUY,11.31,195548.49477508155,2211653.4759061723,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,29762.528272186413,2211653.4759061723,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,1460.3192313675618,2211653.4759061723,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,575951.4260172324,2211653.4759061723,
2023-09-01,Chaman Lal Setia Exports Ltd.,BUY,202.35,10929.841739096479,2211653.4759061723,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,102581.3300513067,2211653.4759061723,
2024-09-02,Tilaknagar Industries Ltd.,SELL,282.7,10234.398315160446,2893264.403695858,1.0047912388774811
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,195548.49477508155,3177663.040095075,1.0047912388774811
2024-09-02,Wallfort Financial Services Ltd.,SELL,149.0,29762.528272186413,4434616.712555775,1.0047912388774811
2024-09-02,Bajaj Finserv Ltd.,SELL,1840.55,1460.3192313675618,2687790.5612935657,1.0047912388774811
2024-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,575951.4260172324,3248366.04273719,1.0047912388774811
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,10929.841739096479,2495829.361122681,1.0047912388774811
2024-09-02,Premier Polyfilm Ltd.,SELL,44.67,102581.3300513067,4582308.01339187,1.0047912388774811
2024-09-02,Tilaknagar Industries Ltd.,BUY,282.7,14120.544285564889,3991877.8695291937,
2024-09-02,Wallfort Financial Services Ltd.,BUY,149.0,26791.12664113553,3991877.8695291937,
2024-09-02,Bajaj Finserv Ltd.,BUY,1840.55,2168.8505444183497,3991877.8695291933,
2024-09-02,Magnanimous Trade & Finance Ltd.,BUY,5.64,707779.7641009209,3991877.8695291937,
2024-09-02,Premier Polyfilm Ltd.,BUY,44.67,89363.73112892755,3991877.8695291937,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,13706.018436151733,3991877.8695291923,
2025-09-02,Tilaknagar Industries Ltd.,SELL,476.95,14120.544285564889,6734793.597000173,0.999315537303217
2025-09-02,Wallfort Financial Services Ltd.,SELL,116.6,26791.12664113553,3123845.3663564026,0.999315537303217
2025-09-02,Bajaj Finserv Ltd.,SELL,1955.9,2168.8505444183497,4242054.779827851,0.999315537303217
2025-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,707779.7641009209,3991877.8695291937,0.999315537303217
2025-09-02,Premier Polyfilm Ltd.,SELL,48.09,89363.73112892755,4297501.829990126,0.999315537303217
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,13706.018436151733,6661124.959969742,0.7474332648870636
