date,company,action,price,shares,value,holding_period_years
2018-09-03,Balmer Lawrie & Co. Ltd.,BUY,153.3,9318.796011555307,1428571.4285714286,
2018-09-03,Bajaj Finserv Ltd.,BUY,665.29,2147.291299390384,1428571.4285714286,
2018-09-03,Chaman Lal Setia Exports Ltd.,BUY,106.9,13363.624214887077,1428571.4285714286,
2019-08-01,Prashant India Ltd.,BUY,1.26,1133786.8480725621,1428571.4285714284,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,337723.741979061,1428571.4285714282,
2020-09-01,Wallfort Financial Services Ltd.,BUY,20.9,19529.34283761351,408163.2653061223,
2020-09-01,Sam Industries Ltd.,BUY,7.5,54421.768707482974,408163.2653061223,
2020-09-01,Arvee Laboratories (India) Ltd.,BUY,35.0,11661.807580174924,408163.2653061223,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,2187.956394029066,408163.26530612225,
2021-09-02,Balmer Lawrie & Co. Ltd.,SELL,130.7,9318.796011555307,1217966.6387102786,2.9979466119096507
2021-09-02,Bajaj Finserv Ltd.,SELL,1670.33,2147.291299390384,3586685.07611074,2.9979466119096507
2021-09-02,Chaman Lal Setia Exports Ltd.,SELL,116.8,13363.624214887077,1560871.3082988106,2.9979466119096507
2021-09-02,Bajaj Finserv Ltd.,BUY,1670.33,1136.0049839011149,1897503.2047595491,
2021-09-02,Chaman Lal Setia Exports Ltd.,BUY,116.8,16245.74661609203,1897503.2047595491,
2022-08-01,Prashant India Ltd.,SELL,8.95,1133786.8480725621,10147392.29024943,3.0006844626967832
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,330780.5148225036,2788479.739953705,
2022-09-01,Balmer Lawrie & Co. Ltd.,BUY,124.65,22370.475250330568,2788479.7399537056,
2022-09-02,Premier Polyfilm Ltd.,SELL,19.11,337723.741979061,6453900.709219855,2.9979466119096507
2022-09-02,Premier Polyfilm Ltd.,BUY,19.11,193868.9158697145,3704834.9822702436,
2023-09-01,Wallfort Financial Services Ltd.,SELL,74.31,19529.34283761351,1451225.46626306,2.9979466119096507
2023-09-01,Sam Industries Ltd.,SELL,67.74,54421.768707482974,3686530.6122448966,2.9979466119096507
2023-09-01,Arvee Laboratories (India) Ltd.,SELL,111.0,11661.807580174924,1294460.6413994166,2.9979466119096507
2023-09-01,Panasonic Energy India Co. Ltd.,SELL,339.95,2187.956394029066,743795.776150181,2.9979466119096507
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,9404.348523249671,2032279.715874254,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,27348.67064828763,2032279.7158742538,
2023-09-01,Sam Industries Ltd.,BUY,67.74,30001.17679176637,2032279.7158742538,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,529239.5093422536,2032279.7158742535,
2023-09-01,Panasonic Energy India Co. Ltd.,BUY,339.95,5978.172424986774,2032279.7158742538,
2023-09-01,Nagreeka Capital & Infrastructure Ltd.,BUY,15.64,129941.15830398041,2032279.7158742538,
2024-09-02,Bajaj Finserv Ltd.,SELL,1840.55,1136.0049839011149,2090873.973119197,3.0006844626967832
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,16245.74661609203,3709716.239784615,3.0006844626967832
2024-09-02,Bajaj Finserv Ltd.,BUY,1840.55,1077.3436708707156,1982904.8934210956,
2024-09-02,Chaman Lal Setia Exports Ltd.,BUY,228.35,8683.621166722556,1982904.8934210956,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,6808.2571447934615,1982904.8934210956,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,8421.766376815016,1982904.8934210953,
2025-09-01,Parker Agrochem Exports Ltd.,SELL,17.98,330780.5148225036,5947433.656508615,3.0006844626967832
2025-09-01,Balmer Lawrie & Co. Ltd.,SELL,219.95,22370.475250330568,4920386.031310208,3.0006844626967832
2025-09-01,Premier Polyfilm Ltd.,SELL,49.38,193868.9158697145,9573247.065646501,2.9979466119096507
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,9404.348523249671,4404526.630863984,2.0479123887748116
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,27348.67064828763,3140994.823955834,2.0479123887748116
2025-09-18,Sam Industries Ltd.,SELL,62.23,30001.17679176637,1866973.2317516212,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,529239.5093422536,2984910.8326903097,2.0479123887748116
2025-09-18,Panasonic Energy India Co. Ltd.,SELL,380.75,5978.172424986774,2276189.150813714,2.0479123887748116
2025-09-18,Nagreeka Capital & Infrastructure Ltd.,SELL,28.32,129941.15830398041,3679933.603168725,2.0479123887748116
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,1077.3436708707156,2229239.5237656846,1.0431211498973305
2025-09-18,Chaman Lal Setia Exports Ltd.,SELL,288.15,8683.621166722556,2502185.4391911044,1.0431211498973305
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,6808.2571447934615,3308812.9723696224,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,8421.766376815016,2246590.3986791736,0.03559206023271732
