date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,2645502.6455026455,3333333.3333333335,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,55625.08691419829,2222222.222222222,
2021-09-01,Premier Polyfilm Ltd.,BUY,14.76,301114.1222523336,4444444.444444444,
2022-08-01,Prashant India Ltd.,SELL,8.95,2645502.6455026455,23677248.677248675,3.0006844626967832
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,702172.2620773629,5919312.169312169,
2022-09-02,Chaman Lal Setia Exports Ltd.,SELL,111.1,55625.08691419829,6179947.15616743,2.9979466119096507
2022-09-02,Chaman Lal Setia Exports Ltd.,BUY,111.1,53865.62480671453,5984470.916025984,
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,13846.531503993485,2992235.458012992,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,40266.9285158524,2992235.458012992,
2023-09-01,Bajaj Finserv Ltd.,BUY,1514.5,1975.7249640231046,2992235.458012992,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,779227.9838575501,2992235.458012992,
2024-09-02,Premier Polyfilm Ltd.,SELL,44.67,301114.1222523336,13450767.841011744,3.0034223134839153
2024-09-02,Premier Polyfilm Ltd.,BUY,44.67,145028.27219638627,6478412.919012575,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,22243.47783351957,6478412.9190125745,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,27515.026200945318,6478412.9190125745,
2025-09-01,Parker Agrochem Exports Ltd.,SELL,17.98,702172.2620773629,12625057.272150984,3.0006844626967832
2025-09-01,Chaman Lal Setia Exports Ltd.,SELL,285.05,53865.62480671453,15354396.351153977,2.9979466119096507
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,13846.531503993485,6485023.029895349,2.0479123887748116
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,40266.9285158524,4624656.740045648,2.0479123887748116
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,1975.7249640231046,4088170.0955566075,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,779227.9838575501,4394845.828956583,2.0479123887748116
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,145028.27219638627,6916398.301045661,1.0431211498973305
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,22243.47783351957,10810330.227090511,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,27515.026200945318,7339908.389364173,0.03559206023271732
