date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-09-01,Chaman Lal Setia Exports Ltd.,BUY,101.25,24691.35802469136,2500000.0,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,98853.3017002768,833333.3333333334,
2023-07-31,Prashant India Ltd.,SELL,8.63,3968253.9682539683,34246031.746031746,3.997262149212868
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,96656.43496890973,7182539.682539682,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,1870453.0423280422,7182539.682539682,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,333141.9147745678,7182539.682539682,
2024-09-02,Chaman Lal Setia Exports Ltd.,SELL,228.35,24691.35802469136,5638271.604938271,4.002737850787132
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,84957.9569760783,20003350.970017634,
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,98853.3017002768,2120403.321470937,3.047227926078029
2025-09-18,Wallfort Financial Services Ltd.,SELL,114.85,96656.43496890973,11100991.556179281,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,1870453.0423280422,10549355.158730157,2.0479123887748116
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,333141.9147745678,15887537.91559914,2.0479123887748116
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,84957.9569760783,22663384.60293865,0.03559206023271732
