date,company,action,price,shares,value,holding_period_years
2022-09-01,Advance Petrochemicals Ltd.,SELL,86.4,1315.7894736842106,113684.2105263158,1.0
2022-09-01,Arnold Holdings Ltd.,SELL,28.22,3436.426116838488,96975.94501718212,1.0
2022-09-01,Balmer Lawrie & Co. Ltd.,SELL,124.65,382.262996941896,47649.08256880734,1.0
2022-09-01,Narmada Macplast Drip Irrigation Systems Ltd.,SELL,9.59,8445.945945945947,80996.62162162163,1.0
2022-09-01,Murudeshwar Ceramics Ltd.,BUY,29.4,1700.6802721088436,50000.0,
2022-09-01,Tilaknagar Industries Ltd.,BUY,78.75,634.9206349206349,50000.0,
2022-09-01,Liberty Shoes Ltd.,BUY,168.45,296.82398337785696,50000.0,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,5931.198102016608,50000.0,
2022-09-01,Lee & Nee Softwares (Exports) Ltd.,BUY,10.34,4835.58994197292,50000.0,
2022-09-01,Maharashtra Scooters Ltd.,BUY,4152.7,12.040359284321045,50000.0,
2022-09-01,Bhartiya International Ltd.,BUY,199.0,251.25628140703517,50000.0,
2022-09-01,Arvee Laboratories (India) Ltd.,BUY,86.75,576.3688760806916,50000.0,
2022-09-01,Yash Management & Satellite Ltd.,BUY,11.0,4545.454545454545,50000.0,
2022-09-01,Systematix Securities Ltd.,BUY,6.44,7763.975155279502,50000.0,
2022-09-01,Aryan Share & Stock Brokers Ltd.,BUY,6.28,7961.783439490446,50000.0,
2022-09-01,Centenial Surgical Suture Ltd.,BUY,53.85,928.5051067780872,50000.0,
2022-09-01,Chaman Lal Setia Exports Ltd.,BUY,106.95,467.50818139317437,50000.0,
2022-09-01,Advance Petrochemicals Ltd.,BUY,86.4,578.7037037037037,50000.0,
2022-09-01,Arnold Holdings Ltd.,BUY,28.22,1771.793054571226,50000.0,
2022-09-01,Balmer Lawrie & Co. Ltd.,BUY,124.65,401.12314480545524,50000.0,
2022-09-01,Narmada Macplast Drip Irrigation Systems Ltd.,BUY,9.59,5213.764337851929,50000.0,
2022-09-02,Premier Polyfilm Ltd.,SELL,19.11,3227.8889606197545,61684.9580374435,1.0
2022-09-02,Premier Polyfilm Ltd.,BUY,19.11,2616.4311878597596,50000.0,
2023-09-01,Murudeshwar Ceramics Ltd.,SELL,41.3,1700.6802721088436,70238.09523809524,1.0
2023-09-01,Tilaknagar Industries Ltd.,SELL,216.1,634.9206349206349,137206.3492063492,1.0
2023-09-01,Liberty Shoes Ltd.,SELL,256.75,296.82398337785696,76209.55773226477,1.0
