Years_ROCE_Increasing,Initial_Capital,Final_Value,Total_Return_Pct,CAGR_Pct,Years_Elapsed,Num_Transactions,Num_Buys,Num_Sells
1,10000000,12166522.763417536,21.665227634175363,2.575257949163845,7.712525667351129,148,74,74
2,10000000,11109386.316689253,11.093863166892529,1.3734293307221535,7.712525667351129,62,31,31
3,10000000,10532010.661971597,5.32010661971597,0.674341156181546,7.712525667351129,28,14,14
4,10000000,10099510.196193501,0.9951019619350135,0.1284688531833167,7.712525667351129,8,4,4
