date,company,action,price,shares,value,holding_period_years
2022-09-01,Premier Polyfilm Ltd.,BUY,19.29,2592.016588906169,50000.0,
2023-09-01,Premier Polyfilm Ltd.,SELL,21.56,2592.016588906169,55883.877656817,1.0
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,2319.109461966605,50000.0,
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,231.3743637204998,50000.0,
2023-09-01,Lee & Nee Softwares (Exports) Ltd.,BUY,7.94,6297.229219143576,50000.0,
2024-09-02,Premier Polyfilm Ltd.,SELL,44.67,2319.109461966605,103594.61966604825,1.0
2024-09-02,Tilaknagar Industries Ltd.,SELL,282.7,231.3743637204998,65409.532623785286,1.0
2024-09-02,Lee & Nee Softwares (Exports) Ltd.,SELL,11.85,6297.229219143576,74622.16624685138,1.0
